Timestamp, Stream1, Stream2, Stream3, Stream4, Overall, Truth
[2016-07-05 20:01:32.470], False, False, False, False, False, False
[2016-07-05 20:01:32.580], False, False, False, False, False, False
[2016-07-05 20:01:32.727], False, False, False, False, False, False
[2016-07-05 20:01:32.837], False, False, False, False, False, False
[2016-07-05 20:01:32.947], False, False, False, False, False, False
[2016-07-05 20:01:33.094], False, False, False, False, False, False
[2016-07-05 20:01:33.205], False, False, False, False, False, False
[2016-07-05 20:01:33.315], False, False, False, False, False, False
[2016-07-05 20:01:33.462], False, False, False, False, False, False
[2016-07-05 20:01:33.572], False, False, False, False, False, False
[2016-07-05 20:01:33.683], False, False, False, False, False, False
[2016-07-05 20:01:33.830], False, False, False, False, False, False
[2016-07-05 20:01:33.940], False, False, False, False, False, False
[2016-07-05 20:01:34.050], False, False, False, False, False, False
[2016-07-05 20:01:34.197], False, False, False, False, False, False
[2016-07-05 20:01:34.307], False, False, False, False, False, False
[2016-07-05 20:01:34.417], False, False, False, False, False, False
[2016-07-05 20:01:34.564], False, False, False, False, False, False
[2016-07-05 20:01:34.675], False, False, False, False, False, False
[2016-07-05 20:01:34.785], False, False, False, False, False, False
[2016-07-05 20:01:34.932], False, False, False, False, False, False
[2016-07-05 20:01:35.043], False, False, False, False, False, False
[2016-07-05 20:01:35.153], False, False, False, False, False, False
[2016-07-05 20:01:35.300], False, False, False, False, False, False
[2016-07-05 20:01:35.410], False, False, False, False, False, False
[2016-07-05 20:01:35.521], False, False, False, False, False, False
[2016-07-05 20:01:35.667], False, False, False, False, False, False
[2016-07-05 20:01:35.778], False, False, False, False, False, False
[2016-07-05 20:01:35.888], False, False, False, False, False, False
[2016-07-05 20:01:36.035], False, False, False, False, False, False
[2016-07-05 20:01:36.145], False, False, False, False, False, False
[2016-07-05 20:01:36.255], False, False, False, False, False, False
[2016-07-05 20:01:36.402], False, False, False, False, False, False
[2016-07-05 20:01:36.512], False, False, False, False, False, False
[2016-07-05 20:01:36.622], False, False, False, False, False, False
[2016-07-05 20:01:36.769], False, False, False, False, False, False
[2016-07-05 20:01:36.886], False, False, False, False, False, False
[2016-07-05 20:01:36.990], False, False, False, False, False, False
[2016-07-05 20:01:37.137], False, False, False, False, False, False
[2016-07-05 20:01:37.247], False, False, False, False, False, False
[2016-07-05 20:01:37.357], False, False, False, False, False, False
[2016-07-05 20:01:37.504], False, False, False, False, False, False
[2016-07-05 20:01:37.615], False, False, False, False, False, False
[2016-07-05 20:01:37.725], False, False, False, False, False, False
[2016-07-05 20:01:37.872], False, False, False, False, False, False
[2016-07-05 20:01:37.982], False, False, False, False, False, False
[2016-07-05 20:01:38.093], False, False, False, False, False, False
[2016-07-05 20:01:38.239], False, False, False, False, False, False
[2016-07-05 20:01:38.350], False, False, False, False, False, False
[2016-07-05 20:01:38.460], False, False, False, False, False, False
[2016-07-05 20:01:38.607], False, False, False, False, False, False
[2016-07-05 20:01:38.718], False, False, False, False, False, False
[2016-07-05 20:01:38.828], False, False, False, False, False, False
[2016-07-05 20:01:38.975], False, False, False, False, False, False
[2016-07-05 20:01:39.085], False, False, False, False, False, False
[2016-07-05 20:01:39.195], False, False, False, False, False, False
[2016-07-05 20:01:39.342], False, False, False, False, False, False
[2016-07-05 20:01:39.452], False, False, False, False, False, False
[2016-07-05 20:01:39.563], False, False, False, False, False, False
[2016-07-05 20:01:39.710], False, False, False, False, False, False
[2016-07-05 20:01:39.820], False, False, False, False, False, False
[2016-07-05 20:01:39.930], False, False, False, False, False, False
[2016-07-05 20:01:40.077], False, False, False, False, False, False
[2016-07-05 20:01:40.187], False, False, False, False, False, False
[2016-07-05 20:01:40.303], False, False, False, False, False, False
[2016-07-05 20:01:40.451], False, False, False, False, False, False
[2016-07-05 20:01:40.560], False, False, False, False, False, False
[2016-07-05 20:01:40.665], False, False, False, False, False, False
[2016-07-05 20:01:40.812], False, False, False, False, False, False
[2016-07-05 20:01:40.923], False, False, False, False, False, False
[2016-07-05 20:01:41.033], False, False, False, False, False, False
[2016-07-05 20:01:41.180], False, False, False, False, False, False
[2016-07-05 20:01:41.290], False, False, False, False, False, False
[2016-07-05 20:01:41.400], False, False, False, False, False, False
[2016-07-05 20:01:41.547], False, False, False, False, False, False
[2016-07-05 20:01:41.658], False, False, False, False, False, False
[2016-07-05 20:01:41.768], False, False, False, False, False, False
[2016-07-05 20:01:41.914], False, False, False, False, False, False
[2016-07-05 20:01:42.025], False, False, False, False, False, False
[2016-07-05 20:01:42.135], False, False, False, False, False, False
[2016-07-05 20:01:42.282], False, False, False, False, False, False
[2016-07-05 20:01:42.392], False, False, False, False, False, False
[2016-07-05 20:01:42.503], False, False, False, False, False, False
[2016-07-05 20:01:42.649], False, False, False, False, False, False
[2016-07-05 20:01:42.760], False, False, False, False, False, False
[2016-07-05 20:01:42.870], False, False, False, False, False, False
[2016-07-05 20:01:43.017], False, False, False, False, False, False
[2016-07-05 20:01:43.127], False, False, False, False, False, False
[2016-07-05 20:01:43.237], False, False, False, False, False, False
[2016-07-05 20:01:43.384], False, False, False, False, False, False
[2016-07-05 20:01:43.495], False, False, False, False, False, False
[2016-07-05 20:01:43.606], False, False, False, False, False, False
[2016-07-05 20:01:43.752], False, False, False, False, False, False
[2016-07-05 20:01:43.862], False, False, False, False, False, False
[2016-07-05 20:01:43.972], False, False, False, False, False, False
[2016-07-05 20:01:44.120], False, False, False, False, False, False
[2016-07-05 20:01:44.234], False, False, False, False, False, False
[2016-07-05 20:01:44.340], False, False, False, False, False, False
[2016-07-05 20:01:44.487], False, False, False, False, False, False
